,title,paragraph_num,paragraph_text,actors_in_paragraph,actors_list,2_plus_actors,numb_unique_actors
292,Antwoord op vragen van de leden Van Raan en Teunissen over “de door Nederland uitgesproken steun aan diepzeemijnbouw”,5,"Vragen van de leden Van Raan en Teunissen (beiden Partij voor de Dieren) aan de Minister voor Natuur en Stikstof, de Staatssecretaris van Economische Zaken en Klimaat en de Minister van Buitenlandse Zaken over de door Nederland uitgesproken steun aan diepzeemijnbouw (ingezonden 26 april 2022).
Antwoord van Minister Hoekstra ( Buitenlandse Zaken), mede namens de Staatssecretaris van Economische Zaken en Klimaat en de Ministers voor Natuur en Stikstof en van Infrastructuur en Waterstaat (ontvangen 4 juli 2022).","['Raan', 'Teunissen', 'Hoekstra']","['Raan', 'Teunissen', 'Hoekstra']",True,3
357,Verslag van een schriftelijk overleg met de minister voor N&S over voortgang stikstofproblematiek,10,"Koffeman (PvdD), Faber-Van de Klashorst (PVV), Van Strien (PVV), Gerkens (SP), Atsma (CDA) (ondervoorzitter), Pijlman (D66), Schalk (SGP), Klip-Martin (VVD), Van Rooijen (50PLUS), Van Ballekom (VVD), Vos (VVD), Crone (PvdA), Dessing (FVD), Van Gurp (GL), Huizinga-Heringa (CU), Kluit (GL), Van der Linden (Fractie-Nanninga) (voorzitter), Meijer (VVD), Otten (Fractie-Otten), Prins (CDA), Vendrik (GL), Van der Voort (D66), Berkhout (Fractie-Nanninga), Raven (OSF), Karakus (PvdA) en vacant (CDA).","['Strien', 'Pijlman', 'Rooijen', 'Gurp', 'Van der Linden', 'Meijer', 'Prins', 'Vendrik', 'Raven']","['Strien', 'Pijlman', 'Rooijen', 'Gurp', 'Van der Linden', 'Meijer', 'Prins', 'Vendrik', 'Raven']",True,9
385,Verslag van een schriftelijk overleg met de minister voor N&S over voortgang stikstofproblematiek,38,"Zo nee, waarom niet?
En deelt u de mening dat nu nieuwe piekbelasters toestaan een extra opgave betekent voor emissiereductie door bestaande bedrijven en projecten?
Zo nee, waarom niet?
Wat is de geldigheidsduur van latente ruimte van stikstof in vergunningen?
Welke mogelijkheden ziet het kabinet om vergunningen van ongerealiseerde projecten in te trekken?
Is het kabinet bereid om met provincies en gemeenten in gesprek te gaan over de onwenselijkheid van het toestaan van nieuwe projecten, zo vragen de leden van de fractie van GroenLinks.
Vragen en opmerkingen van de leden van de fractie van de Partij voor de Dieren
De leden van de fractie van de Partij voor de Dieren hebben met belangstelling kennisgenomen van het Legalisatieprogramma PAS-meldingen van 10 november jl. dat als bijlage bij de brief is toegevoegd.
Zij hebben daar nog enkele vragen over.
Op 29 september jl. nam de Tweede Kamer een motie aan van de leden Vestering/Van Raan (PvdD) 12 Motie van de leden Vestering en Van Raan over geen stikstofdepositieruimte reserveren voor de uitbreiding van Lelystad Airport, Kamerstukken II, 2021–2022, 35 600, nr. 65.
, waarin de regering wordt verzocht om geen stikstofruimte te reserveren voor Lelystad Airport.
Kunt u aangeven hoe het staat met de uitvoering van deze motie?
Bent u het met deze leden eens dat de PAS-melding van Lelystad Airport inderdaad ten onrechte werd gevoegd tussen de PAS-meldingen van kleine agrarische bedrijven?","['Vestering', 'Raan', 'Vestering', 'Raan']","['Vestering', 'Raan', 'Vestering', 'Raan']",True,2
396,Verslag van een schriftelijk overleg met de minister voor N&S over voortgang stikstofproblematiek,49,"Zo ja, kunt u aangeven waarom u SATL niet de gevraagde gegevens verstrekt?
Bent u het eens met de redenering van Leon Adegeest dat zonder de invoer van stikstofgegevens de daadwerkelijke stikstofdepositie op de Natura 2000-gebieden vanuit Lelystad Airport niet berekend kan worden?
De leden van de vaste commissie voor Economische Zaken en Klimaat / Landbouw, Natuur en Voedselkwaliteit zien uw reactie met belangstelling tegemoet en ontvangen deze graag uiterlijk 14 januari 2022.
De voorzitter van de vaste commissie voor Economische Zaken en Klimaat / Landbouw, Natuur en Voedselkwaliteit, L.P. van der Linden BRIEF","['Adegeest', 'van der Linden']","['Adegeest', 'van der Linden']",True,2
492,Verslag van een schriftelijk overleg met de minister voor N&S over voortgang stikstofproblematiek,145,"Op 29 september jl. nam de Tweede Kamer een motie aan van de leden Vestering/Van Raan (PvdD) 30 Motie van de leden Vestering en Van Raan over geen stikstofdepositieruimte reserveren voor de uitbreiding van Lelystad Airport, Kamerstukken II, 2021–2022, 35 600, nr. 65.","['Vestering', 'Raan', 'Vestering', 'Raan']","['Vestering', 'Raan', 'Vestering', 'Raan']",True,2
708,Wijziging van de Wet gewasbeschermingsmiddelen en biociden (grondslag voor maatregelen inzake het (particulier) gebruik van gewasbeschermingsmiddelen,12,", in dit geval
het Besluit gewasbeschermingsmiddelen en biociden en de bijbehorende ministeriële regeling.
Het beleid voor gewasbeschermingsmiddelen buiten de landbouw is niet zozeer gericht tegen het gebruik van gewasbeschermingsmiddelen, maar gaat uit van duurzame gewasbescherming, volgens de algemene beginselen van een geïntegreerde gewasbescherming.
Onderdeel daarvan is een voorkeursvolgorde van maatregelen.
Ziekten, plagen en onkruiden behoren te worden bestreden door toepassing van preventieve maatregelen en vervolgens, als die niet toereikend zijn, met niet-chemische maatregelen en methoden.
Als ook die niet toereikend zijn, kunnen als laatste redmiddel gewasbeschermingsmiddelen worden ingezet.
Deze beginselen worden al in campagnes uitgedragen, zoals in de campagne «Beter bestrijden», ontwikkeld door Milieu Centraal.
De leden van de ChristenUnie-fractie lezen in de memorie van toelichting dat de regering een tweesporenbeleid voert om gebruik van bestrijdingsmiddelen door particulieren uit te faseren:
één gericht op gedragsverandering en daarnaast deze wetswijziging die een verbod mogelijk maakt.
In hoeverre is dit beleid in lijn met de Europese ambities voor het terugdringen van gebruik van bestrijdingsmiddelen door particulieren?
Welke mogelijkheden ziet de regering om verkoop van bestrijdingsmiddelen door discountwinkels te voorkomen?
De Richtlijn duurzaam gebruik pesticiden (Richtlijn 2009/128/EG) schrijft de bevordering van voorlichtingsen bewustmakingsprogramma’s voor, over gewasbeschermingsmiddelen («met name over de uit het gebruik ervan voortvloeiende risico’s en mogelijke acute en chronische gevolgen voor de menselijke gezondheid, niet-doelwitorganismen en het milieu») en over het gebruik van alternatieven zonder chemische stoffen (artikel 7).
De Europese Commissie heeft in de «van boer tot bord strategie» een herziening van deze richtlijn aangekondigd1.
Een eerste voorstel wordt verwacht aan het eind van het eerste kwartaal 2022.
De voorgestelde bevoegdheid om maatregelen te stellen aan het particulier gebruik van gewasbeschermingsmiddelen hangt samen met de motie Ouwehand en Schouw (Kamerstuk 27 858, nr. 240) waarin de regering werd verzocht «de verkoop van glyfosaat aan particulieren per november 2015 te verbieden».
Het instellen van een verkoopverbod voor (discount)winkels is juridisch niet mogelijk.
Het Europese vrije verkeer van goederen en diensten staat een dergelijk verkoopverbod in dit geval niet toe.
Wel kunnen bepaalde wettelijke maatregelen het neveneffect hebben dat de verkoop van gewasbeschermingsmiddelen minder goed past in de bedrijfsvoering van bepaalde winkels.
Mogelijk is dat het geval indien zou worden voorgeschreven dat altijd iemand beschikbaar moet zijn die de klant kan informeren over de bovengenoemde risico’s of gevolgen van gewasbeschermingsmiddelen.
De leden van de ChristenUnie-fractie vragen hoe de regering omgaat met schadelijke vervangers die vrij verkrijgbaar zijn en steeds vaker gebruikt worden, zoals (schoonmaak)azijn.
Deze leden merken op dat er meer niet-chemische of biologische bestrijdingsmiddelen zijn die zeer schadelijk zijn voor de biodiversiteit, maar een milieuvriendelijke reputatie hebben.
Veel mensen weten bijvoorbeeld niet dat azijn schadelijk is voor de grond of dat antirupsenmiddelen alle soorten vlinders bestrijden.","['Ouwehand', 'Schouw']","['Ouwehand', 'Schouw']",True,2
714,Wijziging van de Wet gewasbeschermingsmiddelen en biociden (grondslag voor maatregelen inzake het (particulier) gebruik van gewasbeschermingsmiddelen,18,"Ik zal bezien of er toepassingsgebieden zijn die een vergelijkbaar risico vormen, en zo ja welke.
Ik zal dan tevens bezien of een eventuele aanpak kan worden ondergebracht in het Uitvoeringsprogramma Toekomstvisie gewasbescherming 2030.
Uitbreiding van de Wet gewasbeschermingsmiddelen en biociden is niet bij voorbaat wenselijk, omdat voorschriften veelal kunnen worden gebaseerd op specifieke milieuwetgeving, namelijk de Wet milieubeheer of de Waterwet.
De leden van de GroenLinks-fractie begrijpen dat het vanuit de systematiek handiger is om een concreet verbod voor het niet-professionele gebruik van gif in een aanvullende algemene maatregel van bestuur (AMvB) te regelen.
De manier waarop de memorie van toelichting nu expliciet stelt dat het onzeker is of er een verbod komt, is wel een verwachtingsmanagement dat echt voorsorteert op een teleurstelling.
Deze leden zien dat het gebruik is toegenomen.
Er is dus geen enkele aanleiding om gas terug te nemen en het rustiger aan te doen.
Deze leden willen zo min mogelijk gif in het milieu.
Dat meer vrijblijvende afspraken, zoals de Green Deal, waarnaar in de memorie van toelichting wordt verwezen ook kunnen leiden tot een afname is mogelijk, maar niet gebleken.
De leden van de GroenLinks-fractie blijven dan ook van mening dat een verbod zou moeten volgen uit deze wetswijziging.
De leden van de Partij voor de Dieren-fractie vragen de regering waarom zij stelt dat het nog onzeker is of er daadwerkelijk gebruik gemaakt gaat worden van de wettelijke mogelijkheid om een verbod op het particulier gebruik van landbouwgif in te stellen.
De regering schrijft in de memorie van toelichting dat een wettelijk verbod kan zorgen voor een borging van de behaalde resultaten van de Green Deal «Verantwoord particulier gebruik van gewasbeschermingsmiddelen».
Kan de regering uiteenzetten waarom zij daar eventueel níet voor zou kiezen, zeker gezien de al eerder aangehaalde motie-Ouwehand/Schouw, die sinds 2014 vraagt om een verbod op de particuliere verkoop van glyfosaat, en de motieOuwehand (Kamerstuk 27 858, nr. 151), die sinds 2013 vraagt om een verbod op de particuliere verkoop van neonicotinoïden?
Deze leden benadrukken dat het effect van een verbod vergroot wordt, wanneer het gepaard gaat met goede publieksvoorlichting, waardoor particulieren niet naar andere schadelijke middelen grijpen voor de bestrijding van onkruid of insecten.
De leden van de Partij voor de Dieren-fractie juichen het toe dat er (betere) wettelijke grondslagen gecreëerd worden om het gebruik van bestrijdingsmiddelen te beperken of te verbieden.
Deze leden verwachten dat er spoedig na de inwerkingtreding van deze wetswijziging ook daadwerkelijk een verbod zal komen op de verkoop van glyfosaat (merknaam Roundup) aan particulieren.
Dit was immers het verzoek in de motie van de leden Ouwehand en Schouw (Kamerstuk 27 858, nr. 240) uit 2014, dat de directe aanleiding gaf voor (een deel van) deze wetswijziging.
In de reactie op de genoemde moties is een voorstel voor een verbod van het particulier gebruik van gewasbeschermingsmiddelen afhankelijk gesteld van de resultaten van de Green Deal Verantwoord particulier gebruik van gewasbeschermingsmiddelen.
Als concrete beleidsdoelstelling van de Green Deal was geformuleerd: een vermindering met ten minste 50% van de verkoop van glyfosaathoudende onkruidbestrijdingsmiddelen aan particulieren.
Indien dat percentage volgens een evaluatie niet zou worden gehaald, zou een wettelijk gebruiksverbod worden overwogen.
In de brief van 16 oktober 2020 (Kamerstuk 27 858, nr. 519) wordt vervolgens ingegaan op de resultaten van de evaluatie en de inzet voor de komende jaren.
De evaluatie van het RIVM toont aan dat de doelstelling ruimschoots is gehaald;
de vermindering bedraagt ruim 70%.","['Ouwehand', 'Schouw', 'Ouwehand', 'Ouwehand', 'Schouw']","['Ouwehand', 'Schouw', 'Ouwehand', 'Ouwehand', 'Schouw']",True,2
769,"Voorbereiding van het GLB-NSP commissiedebat op 8 december, inclusief concept NSP & S-MER",25,"De gekozen inzet voor overheveling van gelden uit de eerste pijler naar de tweede pijler in het concept NSP geven uitvoering aan de motie van de leden Tjeerd de Groot en Boswijk (Kamerstuk 21 501-32, nr. 1319), de motie van het lid Tjeerd de Groot c.s. (Kamerstuk 28 625, nr. 303), de motie van het lid Van Campen c.s. (Kamerstuk 28 625, nr. 310) en de toezegging aan het lid Van Campen van 30 september om informatie te delen over een trapsgewijze verkenning naar de overhevelingsmogelijkheid van de eerste naar de tweede pijler.
Er is, in lijn met deze moties en toezegging, gekozen voor een stapsgewijze overheveling van eerste naar tweede pijler naar 30% in de periode 2023–2027.
Hiermee kan in grotere mate voldaan worden aan de verschillende beleidswensen uit de tweede pijler.
Zoals in motie van het lid Tjeerd de Groot c.s. (Kamerstuk 28 625, nr. 303) wordt verzocht, wordt naast de bestaande cofinanciering voor maatregelen in de 2e pijler, voorzien in aanvullende financiering door het Rijk van de middelen die trapsgewijs van 15% oplopend tot 30% worden overgeheveld van pijler 1 naar pijler 2.
De aanvullende financiering hiervoor wordt gevonden binnen bestaande middelen.
Tegelijkertijd zal het budget voor de ecoregelingen constant gehouden worden, waardoor de overheveling geen negatieve invloed op het budget voor de ecoregelingen zal hebben.
Hiermee wordt uitvoering gegeven aan de motie van het lid Tjeerd de Groot c.s. (Kamerstuk 28 625, nr. 304).
Het concept NSP zoals bijgevoegd bevat een financiële tabel in Hoofstuk 6.
De daarin opgenomen cijfers voor de cofinanciering kunnen eventueel nog worden aangepast.","['de Groot', 'Boswijk', 'de Groot', 'Van Campen', 'Van Campen', 'de Groot', 'de Groot']","['de Groot', 'Boswijk', 'de Groot', 'Van Campen', 'Van Campen', 'de Groot', 'de Groot']",True,3
771,"Voorbereiding van het GLB-NSP commissiedebat op 8 december, inclusief concept NSP & S-MER",27,"Motie Bisschop (SGP) en Van der Plas (BBB) – (Kamerstuk 28 625, nr. 301) en motie
Tjeerd de Groot c.s. (Kamerstuk 28 625, nr. 304)","['Bisschop', 'de Groot']","['Bisschop', 'de Groot']",True,2
779,"Voorbereiding van het GLB-NSP commissiedebat op 8 december, inclusief concept NSP & S-MER",35,"Motie van Tjeerd De Groot en Boswijk (Kamerstuk 21 501-32, nr. 1300)","['De Groot', 'Boswijk']","['De Groot', 'Boswijk']",True,2
