Validation_set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.1,0.1,0.5071847165121295
75% Corpus,4,0.1,0.4,0.5111437821816442
75% Corpus,4,0.1,0.7000000000000001,0.5095898226955724
75% Corpus,4,0.1,symmetric,0.512189219127429
75% Corpus,4,0.4,0.1,0.502737832559074
75% Corpus,4,0.4,0.4,0.5126169732819705
75% Corpus,4,0.4,0.7000000000000001,0.5166013992559988
75% Corpus,4,0.4,symmetric,0.5131380091261416
75% Corpus,4,0.7000000000000001,0.1,0.5074073326782805
75% Corpus,4,0.7000000000000001,0.4,0.5072004074050169
75% Corpus,4,0.7000000000000001,0.7000000000000001,0.5146903829894917
75% Corpus,4,0.7000000000000001,symmetric,0.5044899899705908
75% Corpus,4,symmetric,0.1,0.5084553833285625
75% Corpus,4,symmetric,0.4,0.5126169732819705
75% Corpus,4,symmetric,0.7000000000000001,0.5201069488664452
75% Corpus,4,symmetric,symmetric,0.5131380091261417
75% Corpus,4,asymmetric,0.1,0.5133400606658627
75% Corpus,4,asymmetric,0.4,0.5112096602851719
75% Corpus,4,asymmetric,0.7000000000000001,0.5070203790104725
75% Corpus,4,asymmetric,symmetric,0.5043864855888994
75% Corpus,5,0.1,0.1,0.5178093665000629
75% Corpus,5,0.1,0.4,0.5037374998203255
75% Corpus,5,0.1,0.7000000000000001,0.5203761202947753
75% Corpus,5,0.1,symmetric,0.5125377937525819
75% Corpus,5,0.4,0.1,0.5011253546646603
75% Corpus,5,0.4,0.4,0.5229805003173856
75% Corpus,5,0.4,0.7000000000000001,0.5279831110182424
75% Corpus,5,0.4,symmetric,0.5059914270654721
75% Corpus,5,0.7000000000000001,0.1,0.5003221876268947
75% Corpus,5,0.7000000000000001,0.4,0.5182492450545929
75% Corpus,5,0.7000000000000001,0.7000000000000001,0.5342297602205044
75% Corpus,5,0.7000000000000001,symmetric,0.49933826484769706
75% Corpus,5,symmetric,0.1,0.5226295463039554
75% Corpus,5,symmetric,0.4,0.5114559671244763
75% Corpus,5,symmetric,0.7000000000000001,0.5165400760422839
75% Corpus,5,symmetric,symmetric,0.5125377937525819
75% Corpus,5,asymmetric,0.1,0.4906698752832437
75% Corpus,5,asymmetric,0.4,0.5183697268978925
